* SLURM BATCH JOB 'test' STARTING *
* Activating environment miniproject *
Running on GPU: False
Training for drop_rate=0.7, learn_mask=False
Epopch: 0, Train Loss: 0.49125347909773726, Val Loss: 0.43450633598410565, Train PSNR: 21.551923284322125, Val PSNR: 20.8676174827244 
Epopch: 1, Train Loss: 0.3820320541002671, Val Loss: 0.37387946701568103, Train PSNR: 22.569214758307805, Val PSNR: 21.53084763236668 
Epopch: 2, Train Loss: 0.3481654919881129, Val Loss: 0.3697740160252737, Train PSNR: 22.973152821302687, Val PSNR: 21.59987146958061 
Epopch: 3, Train Loss: 0.32751281796102555, Val Loss: 0.3527362265664598, Train PSNR: 23.269272210545864, Val PSNR: 21.79195453809655 
Epopch: 4, Train Loss: 0.3149432949421732, Val Loss: 0.3331297972927923, Train PSNR: 23.424716194424995, Val PSNR: 22.028663469397504 
Epopch: 5, Train Loss: 0.30410406902278114, Val Loss: 0.32744640630224475, Train PSNR: 23.544553025819628, Val PSNR: 22.10213839489481 
Epopch: 6, Train Loss: 0.29560459459198357, Val Loss: 0.31645083945730457, Train PSNR: 23.686282775755995, Val PSNR: 22.259668723396633 
Epopch: 7, Train Loss: 0.2877585886708612, Val Loss: 0.33783221406781155, Train PSNR: 23.776421458043494, Val PSNR: 22.014927242113195 
Epopch: 8, Train Loss: 0.28260090809971333, Val Loss: 0.3074595238203588, Train PSNR: 23.87601094964733, Val PSNR: 22.39458701921546 
Epopch: 9, Train Loss: 0.27718110329399726, Val Loss: 0.306412376139475, Train PSNR: 23.976065908943415, Val PSNR: 22.406352167544156 
* SLURM BATCH JOB 'test' DONE *
