* SLURM BATCH JOB 'test' STARTING *
* Activating environment miniproject *
Running on GPU: True
Training for drop_rate=0.7, learn_mask=False
Epopch: 0, Train Loss: 0.4889214161967792, Val Loss: 0.4359713002391484, Train PSNR: 21.57425789125221, Val PSNR: 20.852399950442106 
Epopch: 1, Train Loss: 0.37980674304951184, Val Loss: 0.37145464511021326, Train PSNR: 22.593844522403764, Val PSNR: 21.55077494745669 
Epopch: 2, Train Loss: 0.34660486570024657, Val Loss: 0.35728536999743915, Train PSNR: 22.992449737390796, Val PSNR: 21.744306149690047 
Epopch: 3, Train Loss: 0.3258377546133737, Val Loss: 0.3477978495799977, Train PSNR: 23.29207008151108, Val PSNR: 21.848640773607336 
Epopch: 4, Train Loss: 0.31352840722361697, Val Loss: 0.33022667111262033, Train PSNR: 23.444223322720195, Val PSNR: 22.06962776184082 
Epopch: 5, Train Loss: 0.3029458381329911, Val Loss: 0.33799942485664203, Train PSNR: 23.56150270249133, Val PSNR: 21.974522424780805 
Epopch: 6, Train Loss: 0.2950330265166433, Val Loss: 0.3148355393306069, Train PSNR: 23.69495270468972, Val PSNR: 22.27234757464865 
Epopch: 7, Train Loss: 0.28671747490643634, Val Loss: 0.33290737640598544, Train PSNR: 23.792021381566933, Val PSNR: 22.079450109730598 
Epopch: 8, Train Loss: 0.28249256143087076, Val Loss: 0.3098569732645284, Train PSNR: 23.87825602848593, Val PSNR: 22.352884582851242 
Epopch: 9, Train Loss: 0.27762984089184684, Val Loss: 0.3117268503360126, Train PSNR: 23.969457692189103, Val PSNR: 22.3418025970459 
* SLURM BATCH JOB 'test' DONE *
