* SLURM BATCH JOB 'test' STARTING *
* Activating environment miniproject *
Running on GPU: True
Training for drop_rate=0.2, learn_mask=True
Epopch: 0, Train Loss: 0.12622057644798237, Val Loss: 0.11182445668331954, Train PSNR: 27.59141241365527, Val PSNR: 26.922011748604152 
Epopch: 1, Train Loss: 0.08935046893886373, Val Loss: 0.09553280286490917, Train PSNR: 28.901055429280834, Val PSNR: 27.682522027388863 
Epopch: 2, Train Loss: 0.08195631178599644, Val Loss: 0.08848882507046928, Train PSNR: 29.276328873716647, Val PSNR: 27.98540198284647 
Epopch: 3, Train Loss: 0.07663121140027211, Val Loss: 0.08356648562071116, Train PSNR: 29.596418900923297, Val PSNR: 28.20902617081352 
Epopch: 4, Train Loss: 0.07369497029584489, Val Loss: 0.0847318724769613, Train PSNR: 29.748043328077802, Val PSNR: 28.15557906938636 
Epopch: 5, Train Loss: 0.07231832507427598, Val Loss: 0.07686808988775896, Train PSNR: 29.796426000474373, Val PSNR: 28.59436561750329 
Epopch: 6, Train Loss: 0.07129035603310763, Val Loss: 0.07808061146541782, Train PSNR: 29.888148809329824, Val PSNR: 28.546128273010254 
Epopch: 7, Train Loss: 0.06937689548068958, Val Loss: 0.07754010877207569, Train PSNR: 29.969239152616407, Val PSNR: 28.56534481048584 
Epopch: 8, Train Loss: 0.06856384131332947, Val Loss: 0.0718253595025643, Train PSNR: 30.040314234304482, Val PSNR: 28.84313861183498 
Epopch: 9, Train Loss: 0.06715975523475125, Val Loss: 0.0782417110774828, Train PSNR: 30.148627910021396, Val PSNR: 28.522990765778914 
* SLURM BATCH JOB 'test' DONE *
